Case Number,Date,Primary Type,Location Description,Arrest,Domestic,District,Ward
JA140617,02/03/2017 11:30,BATTERY,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,15,29
JA140615,02/03/2017 16:12,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,8,15
JA140533,01/31/2017 12:21:00 AM,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,18,27
JA140658,02/03/2017 17:19,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,8,15
JA140268,02/02/2017 17:00,THEFT,STREET,FALSE,FALSE,3,20
JA140415,01/31/2017 08:00:00 PM,THEFT,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,17,39
JA140657,02/03/2017 17:50,ASSAULT,GAS STATION,FALSE,FALSE,3,5
JA140653,02/03/2017 17:00,NARCOTICS,STREET,TRUE,FALSE,10,24
JA140606,02/03/2017 12:00,DECEPTIVE PRACTICE,RESTAURANT,FALSE,FALSE,18,42
JA140561,02/03/2017 16:14,OTHER OFFENSE,CAR WASH,FALSE,TRUE,11,28
JA140537,02/03/2017 15:42,OTHER OFFENSE,STREET,TRUE,FALSE,3,5
JA140560,02/03/2017 15:50,THEFT,SMALL RETAIL STORE,TRUE,FALSE,9,3
JA140691,02/03/2017 00:05,CRIMINAL DAMAGE,STREET,FALSE,TRUE,15,29
JA140450,02/03/2017 06:30,BATTERY,STREET,FALSE,TRUE,25,29
JA140715,02/03/2017 17:40,MOTOR VEHICLE THEFT,ALLEY,FALSE,FALSE,14,35
JA140439,01/28/2017 03:00:00 PM,BATTERY,SIDEWALK,FALSE,FALSE,25,29
JA140670,02/03/2017 17:40,THEFT,SMALL RETAIL STORE,FALSE,FALSE,19,43
JA140420,01/08/2017 08:30,BATTERY,RESIDENCE,FALSE,TRUE,25,29
JA140539,02/03/2017 14:50,THEFT,DEPARTMENT STORE,TRUE,FALSE,5,9
JA140610,02/02/2017 08:00,BATTERY,APARTMENT,FALSE,FALSE,11,24
JA140654,01/11/2017 15:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,7,20
JA140840,01/25/2017 08:00:00 PM,THEFT,APARTMENT,FALSE,FALSE,1,2
JA140652,02/03/2017 17:41,OTHER OFFENSE,APARTMENT,FALSE,FALSE,8,15
JA140718,02/03/2017 07:20,CRIMINAL DAMAGE,STREET,FALSE,FALSE,1,2
JA140723,02/03/2017 17:30,ASSAULT,CTA PLATFORM,FALSE,FALSE,1,42
JA140504,02/03/2017 15:40,BATTERY,APARTMENT,FALSE,TRUE,2,3
JA140731,02/03/2017 18:35,THEFT,SMALL RETAIL STORE,FALSE,FALSE,1,42
JA140451,02/03/2017 15:25,ASSAULT,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,2,3
JA140705,02/03/2017 18:15,NARCOTICS,SIDEWALK,TRUE,FALSE,11,24
JA140707,02/03/2017 17:26,BATTERY,RESIDENCE,FALSE,TRUE,16,41
JA140434,02/03/2017 14:30,BATTERY,APARTMENT,FALSE,FALSE,20,48
JA140625,02/03/2017 17:10,ASSAULT,APARTMENT,FALSE,TRUE,3,5
JA140767,02/02/2017 13:20,THEFT,GROCERY FOOD STORE,FALSE,FALSE,24,50
JA140640,02/03/2017 05:30,THEFT,CTA GARAGE / OTHER PROPERTY,FALSE,FALSE,8,23
JA140742,02/03/2017 18:25,THEFT,SMALL RETAIL STORE,FALSE,FALSE,24,49
JA140686,02/03/2017 18:00,OTHER OFFENSE,SIDEWALK,FALSE,FALSE,3,5
JA140524,02/02/2017 23:00,THEFT,STREET,FALSE,FALSE,10,22
JA140659,02/03/2017 17:47,ROBBERY,STREET,FALSE,FALSE,4,8
JA140755,02/02/2017 18:00,MOTOR VEHICLE THEFT,STREET,FALSE,FALSE,22,34
JA140702,01/31/2017 11:50:00 PM,DECEPTIVE PRACTICE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,22,34
JA140685,02/03/2017 18:00,THEFT,OTHER,FALSE,FALSE,19,32
JA140774,02/03/2017 19:04,NARCOTICS,STREET,TRUE,FALSE,10,24
JA140759,02/03/2017 15:00,ROBBERY,STREET,FALSE,FALSE,9,16
JA140700,02/03/2017 15:29,PUBLIC PEACE VIOLATION,RESIDENCE,FALSE,FALSE,22,21
JA140770,02/03/2017 16:00,CRIMINAL TRESPASS,STREET,FALSE,FALSE,2,4
JA140760,02/03/2017 18:37,ROBBERY,SMALL RETAIL STORE,FALSE,FALSE,8,13
JA140641,02/02/2017 17:30,THEFT,STREET,FALSE,FALSE,22,19
JA140763,02/03/2017 18:51,NARCOTICS,SIDEWALK,TRUE,FALSE,2,4
JA140703,02/03/2017 18:30,CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,8,18
JA140674,02/01/2017 14:00,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,9,20
JA140681,02/03/2017 17:15,THEFT,APARTMENT,FALSE,FALSE,5,9
JA140630,01/31/2017 08:00:00 AM,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,24,50
JA140794,02/03/2017 19:22,CRIMINAL DAMAGE,VACANT LOT/LAND,FALSE,FALSE,3,5
